imo,vessel_name,gfw_id
6914514,ASANDA,9074f6a5a-a97a-399c-23ec-b7cac3b205d1
6928553,TAMANGO,cd06c7464-45c5-6896-be19-1ca6bf77cf99
7234193,YANTAR 1,a790d66f9-9363-44bd-61ba-021748036dc8
7426863,MELKART,454996a2d-d1d0-ddb1-b341-9a29b589d1d6
7436375,LUNGA,2cf06f73c-ce2c-6fe2-232f-06dfb03547e6
7645172,KONSTRUKTOR BAYBAKOV,1dab53a4e-efd1-2ee5-a97e-4b85d25628f6
7703998,PAVEL PANIN,d9048d4ec-c1fd-fc76-fde6-fe4740ad5863
7727425,KRYM,394785234-44e2-99cd-0272-fb478a81192b
7740934,IKLARAND,c6901c7ba-a573-b395-916a-155a028997f4
7832816,ASACHA,222a45291-199b-ff15-12e7-b117f8df5c76
7832945,HIRONIN,7ff99d590-0692-0cb0-8a39-23e6f412a669
7920053,GRIF,44d114998-8b63-aca8-d282-f28a67ff097b
7932757,NOVOULYANOVSK,261a61df8-86f7-7d50-72bf-3c944b82bd06
7941631,BORISOV,995beb1c1-117a-3c44-44a8-531c2583822e
7942180,PIONER NIKOLAEVA,cb4c5bb15-5f68-ac38-4116-9ec72739de6f
7943184,NOVO 23,938a3f051-15ea-794f-f2f0-f5dd876df3e2
7943201,ANATOLIY  TORCHINOV,a3cb533ff-fced-0e07-c8a3-08b76f110c9f
8033235,SEROVO,59066796a-a052-9a50-4b0f-ca90ba88fbe6
8033510,TARPON,6b2c69ff4-4059-a693-a82e-32801ce654c2
8106824,PANDORA,1f1859a95-524b-f75a-bbfb-5cfb8751d493
8116312,VICTORY,2cfcab44c-cb80-527c-4963-cfc27f36b1d0
8225503,ASTRONOM,1126ef70b-b798-13cb-474f-8c34190bab24
8226765,N I K O M,f5435ca58-8c49-c9e3-a157-f24183b6da79
8227068,VINOGRADNOE,dfa09ea96-6d3b-9049-9211-4777c0bbcbda
8228684,PORFIRY CHANCHIBADZE,6ae0c5111-1c6e-44b0-567c-dc2848dc75f3
8320925,BRAUZER,71882c052-2bdd-aff4-ec8d-f1147d7070ef
8357605,LUMIR,109adcdcc-c40f-f8fe-871c-032da4a6e741
8358996,SUCHAN,2517c7434-41c3-4da9-321d-29bbf4a6a96f
8401080,PROMETEY,32e88de7c-c2e8-7fcb-a1b3-fec4e3806ecf
8411085,AHTIAR,5ddb64d7e-ec33-e20d-7265-c717e3c59313
8422876,F/V OZHERELYE,2a870fa64-4f49-e4ab-e457-50b49fac7bf6
8423258,INYA,43a0cd842-2bd8-585c-efa6-baa92904f0ae
8509935,EROFEY,ac3a6a3b1-148d-6e51-1824-45d15f40f212
8608846,LOTOS-04,bc56a6fb1-1795-f15a-a568-ac5c6c5f0cae
8612756,KAPITAN DOLGIKH,1a48d4ea0-06d9-e71e-c0cd-f199c649822e
8624565,KAPITAN DEMIDYUK,4ff71a5b0-0056-2cec-4c89-726e7f47ad56
8625961,KAPITAN OLEYNICHUK,8dba3b898-81f8-c5dc-5693-56da3b9caf82
8667048,RASSVET,7df6de6b8-88ea-f21a-fc38-8ce6d2b4039b
8705838,SOLBORG,f1de0789d-df04-7949-ea43-5720251593b4
8710285,POLARPESCA,d8ed88e6f-f471-82cd-e521-db9d0734823c
8714310,KAPITAN GROMTSEV,b2f15f154-44fc-b294-6ca7-671cad8b1fd5
8718158,KOMANDOR,9cda982a2-2056-3bf0-8333-8aead3deb839
8721806,BRATTSEVO,20379899d-dcb2-07ec-ba3d-70e48601ede6
8721856,OSSORA,955b4ff4b-b269-f326-2b9c-93e57b1c044f
8722070,KARATAEVO,6693d5181-1cb5-73fe-f929-eb531a7e4924
8722123,RASHKOV,e374f0432-2319-7db6-e0c3-8330a3b91e7c
8722812,KOMETA GALLEYA,2eba0145f-f2c9-8986-c87c-1b1a44802bc0
8725852,YAKOV PAVLOV,2089fcdc1-1266-9df5-777c-34b3df89f63c
8727678,SHURSHA,77334f86a-ac3c-6204-053b-cca023cbcd74
8729432,OKSINO,021a7cab7-73d0-bc5c-7702-666a8b117678
8729987,BRATYA STOYANOVY,8389a0531-1244-73a2-e085-7dd18409e9a2
8747977,JUI YING,1a153ba95-54db-f7a6-4408-133a73a00133
8747989,SSK 3,594aebcd6-6549-6c6e-9235-16e073414bab
8747991,SHIAN MAAN NO.12,e051833a0-0baf-f31b-2814-5cc94e4175ce
8748000,JIIN-TA-HORNG-NO168,4028a4375-5853-5eaa-60a2-49d9a3ec101c
8811807,PORONAY,169f5c609-97e2-4e36-02d5-4e3a039ff107
8819287,LUSAY,c7024248d-d8bd-d551-9558-e10566d46e1a
