imo,vessel_name,rmrs_number,class_status
1051513,АНДРЕЙ БАСАРГИН,230192,""
2941832,ОСТРОВНОЙ-2,041195,""
7032179,ЗВЕЗДА МУРМАНА,694770,""
7234868,МАЙБОРГ,734794,""
7311824,СЕВЕРЯНИН II,724035,""
7376410,ЗАЛИВ ЗАБИЯКА,744575,""
7382914,ЗВЕЗДА СЕВЕРА,735114,""
7418725,ДМИТРИЙ,743464,""
7421198,ОЛЬХОВАТКА,732830,""
7607273,ВЛАДИМИР ЗАГОСКИН,774405,""
7704708,ОЛАФССОН,775592,""
7941643,БУТОВСК,801570,""
7945663,БАКЛАНОВО,801602,""
8001971,ЮГО-ВОСТОК,804668,""
8024002,ВОЛК АРКТИКИ,825734,""
8033924,ВОЙКОВО,811069,""
8117550,ГНУПУР,805694,""
8133413,КОКШАЙСК,820980,""
8134912,ЕФИМ КОСТЮКОВ,822492,""
8315944,ГУЛДРАНГУР,835859,""
8330712,ВУТАН,842782,""
8331534,ИРТЫШСК,841652,""
8352162,БИКИН,914872,""
8415574,ОСВЕЙСКОЕ,830499,""
8423533,КИШИНЕВКА,840409,""
8423557,МЫС БАСАРГИНА,841667,""
8423583,КРЫМСКИЙ,841120,""
8504519,ПРОТОН,855710,""
8504545,ЯХОНТ,856412,""
8520769,ПРОЕКТ,855411,""
8522250,МАРТА АРЕНДЗЕЕ,851993,""
8522286,ОБЕЛЯЙ,851577,""
8522303,КАРАЧАРОВО,852464,""
8602866,АЛСЕЙ,867313,""
8604022,КАПИТАН ГЕРАЩЕНКО,867258,""
8607139,НИКОЛАЙ ТЕЛЕНКОВ,875502,""
8607153,АЛЕКСАНДР КОСАРЕВ,875521,""
8607165,АДМИРАЛ ШАБАЛИН,881683,""
8607177,АЛЕКСАНДР МИРОНЕНКО,881946,""
8607191,ВАСИЛИЙ ФИЛИППОВ,884732,""
8607206,КУРШСКАЯ КОСА,885294,""
8607232,ЯНТАРНЫЙ,885913,""
8607282,ПАВЕЛ КУТАХОВ,893854,""
8607323,ВАСИЛИЙ ЛОЗОВСКИЙ,893892,""
8607402,КАПИТАН БОГОМОЛОВ,902493,""
8615318,МЕЛЬКАРТ-7,877989,""
8617859,ЛИНДГОЛЬМ,866715,""
8627141,ХОКУТАЦУ МАРУ № 1,846637,""
8651453,ТУНГИР,002010,""
8661173,АРКА-31,010777,""
8661202,ГОРИН,971076,""
8662634,НАЗИМОВ,000725,""
8701959,МЕЛЬКАРТ-2,877090,""
8703593,СОВЕРЕН,877739,""
8704834,МЕЛЬКАРТ-6,877974,""
8707446,ЦАРИЦА,888199,""
8713184,ОСТРОВНОЙ-10,877921,""
8714530,МЕЛЬКАРТ-4,887753,""
8716875,ГЕРОИ ДАМАНСКОГО,877194,""
8717049,КАЮМ,877902,""
8717192,МЕРЛАНГ,877890,""
8717568,АРКА-35,876740,""
8721040,XXVII СЪЕЗД КПСС,841686,""
8721052,XX СЪЕЗД ВЛКСМ,851851,""
8721105,МИНИСТР ИШКОВ,852356,""
8721117,МАТВЕЙ КУЗЬМИН,862150,""
8721131,КАПИТАН ФАЛЕЕВ,852394,""
8721167,ИЛЬЯ КОНОВАЛОВ,852387,""
8721181,ВАСИЛЬЕВСКИЙ ОСТРОВ,883829,""
8721210,ВЛАДИМИР БАБИЧ,852360,""
8721246,АНАТОЛИЙ ПОНОМАРЕВ,852341,""
8721260,АЛЕКСАНДР БЕЛЯКОВ,862146,""
8721985,КОМАРНО,862343,""
8722032,КИРОВКА,840857,""
8722111,МОРСКОЙ БРИЗ,870246,""
8723880,РЫБОЛОВ-1,881240,""
8724327,КАПИТАН КОЛЕСНИКОВ,873687,""
8724377,ОБАЯТЕЛЬНЫЙ,842602,""
8729652,МАГАДАН,885843,""
8747276,УЗОН,000496,""
8747329,АЛЧАН,000585,""
8800468,АСКУР,888127,""
8801187,СЕВРЫБА-1,896424,""
8801931,МЕЛЬКАРТ-3,887687,""
8804074,УГУЛАН,887213,""
8804309,ИХТИОЛОГ,887500,""
8805303,ВИЛЮЙ,888220,""
8809294,ВОСТОК-5,887603,""
8810451,МАТРИЦА,887073,""
8810504,СУНТАР,887251,""
8813702,КАНИН НОС,888216,""
8815334,ВОСТОК-7,888004,""
8817423,АЛЕКСЕЙ АНИЧКИН,887143,""
8817734,ПЕТРОПАВЛОВСК,905407,""
8821371,ГУРД,897713,""
8821462,КАРОЛИНА 77,887567,""
